Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
136.51367	-0.40849149	55.35791	-0.45918226	-0.49547553	0
137.01367	-0.40942132	56.081966	-0.46100289	-0.49762934	0
137.51367	-0.41149855	56.881828	-0.46290159	-0.49965292	1
138.01367	-0.41319728	51.931637	-0.4648	-0.50165504	0
138.51367	-0.41427016	55.297432	-0.46687096	-0.50366163	0
139.01367	-0.4150629	54.732151	-0.46864599	-0.505822	0
139.51367	-0.41694939	56.18536	-0.4705745	-0.50777644	0
140.01367	-0.41850507	55.874664	-0.47261089	-0.50985605	0
140.51367	-0.42013824	55.831005	-0.47444433	-0.51172376	0
141.01367	-0.42110085	54.540867	-0.47659189	-0.51422834	0
141.51367	-0.42429566	57.804638	-0.47873855	-0.51630408	0
142.01367	-0.42505264	56.242043	-0.48090994	-0.51858276	0
142.51367	-0.42632222	54.44046	-0.48299968	-0.52087724	0
143.01367	-0.42753816	56.501804	-0.48509061	-0.52318454	0
143.51367	-0.42831898	56.364128	-0.48748016	-0.52568942	0
144.01367	-0.4291594	58.302639	-0.48981756	-0.52814454	0
144.51367	-0.43185353	55.739491	-0.49205214	-0.53068697	0
145.01367	-0.43381155	57.179398	-0.49458355	-0.53325057	0
145.51367	-0.43536425	57.761288	-0.49705446	-0.53585678	0
146.01367	-0.43701828	56.424076	-0.49983233	-0.53868592	0
146.51367	-0.4378736	57.159252	-0.502792	-0.54177046	0
147.01367	-0.43994188	57.993069	-0.50528109	-0.54450989	0
147.51367	-0.44181347	58.512291	-0.50722092	-0.5464232	0
148.01367	-0.44151247	58.54166	-0.50899178	-0.54821163	1
148.51367	-0.44433475	60.044792	-0.51066816	-0.55032074	1
149.01367	-0.44531524	60.521149	-0.51231354	-0.55215806	0
149.51367	-0.4468739	58.867054	-0.51394254	-0.55354565	0
150.01367	-0.44891834	56.954208	-0.51535666	-0.55518538	0
150.51367	-0.44973493	58.533802	-0.51690549	-0.55678219	0
151.01367	-0.45236349	59.81049	-0.51834971	-0.5583936	0
151.51367	-0.45362711	58.223225	-0.5199489	-0.56004614	0
152.01367	-0.45452416	60.508217	-0.5213204	-0.56150436	0
152.51367	-0.4548192	56.596909	-0.52283674	-0.56331933	0
153.01367	-0.45716763	59.701962	-0.52450836	-0.56489676	0
153.51367	-0.4573971	59.235889	-0.52655816	-0.56711495	0
154.01367	-0.45906007	59.71283	-0.52821696	-0.5688706	0
154.51367	-0.46230853	62.238853	-0.5298534	-0.57087213	0
155.01367	-0.46315491	61.688759	-0.53143919	-0.57229012	0
