Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
508.01465	-1.524666	-1706.443	0.000128113	-0.004451573	0
508.51465	-1.5267223	-1706.0372	9.55E-05	-0.004489422	0
509.01465	-1.5269548	-1709.3765	6.12E-05	-0.004476011	1
509.51465	-1.5290767	-1713.3843	6.52E-05	-0.00456661	0
510.01465	-1.5304834	-1720.041	9.79E-05	-0.004575849	0
510.51465	-1.5319616	-1719.6404	0.00010008	-0.004569292	0
511.01465	-1.5333623	-1724.0529	1.18E-05	-0.004579425	0
511.51465	-1.5345424	-1727.985	0.00010116	-0.004698634	0
512.01465	-1.5372783	-1730.0802	8.88E-05	-0.004591048	0
512.51465	-1.5381902	-1738.5667	7.83E-05	-0.004720092	0
513.01465	-1.5405089	-1736.4191	5.56E-05	-0.004625917	0
513.51465	-1.5413791	-1738.6755	9.57E-05	-0.004751682	0
514.01465	-1.5435368	-1740.2688	9.23E-05	-0.004781187	0
514.51465	-1.5431374	-1743.751	5.86E-05	-0.004768372	0
515.01465	-1.5459865	-1744.775	8.69E-05	-0.004756749	0
515.51465	-1.5476376	-1748.4918	8.88E-05	-0.004757643	0
516.01465	-1.5473932	-1752.1604	8.26E-05	-0.004882217	0
516.51465	-1.5484899	-1758.0198	8.43E-05	-0.004754365	0
517.01465	-1.5507787	-1765.1897	2.37E-05	-0.004875064	0
517.51465	-1.5534312	-1770.2057	2.56E-05	-0.004788637	0
518.01465	-1.5535682	-1776.8523	9.16E-05	-0.004864037	0
518.51465	-1.5548497	-1784.6095	6.29E-05	-0.004908741	0
519.01465	-1.5564233	-1791.1368	7.05E-05	-0.005004704	0
519.51465	-1.5580505	-1797.3419	5.72E-05	-0.004806817	1
520.01465	-1.5605897	-1807.0934	8.48E-05	-0.005053878	0
520.51465	-1.5626222	-1816.3851	9.78E-05	-0.005052388	0
521.01465	-1.5644461	-1817.6079	3.54E-05	-0.005014241	0
521.51465	-1.5634984	-1823.3833	0.00011595	-0.005115569	0
522.01465	-1.5660077	-1830.0605	5.47E-05	-0.005191863	0
522.51465	-1.5683204	-1834.2142	0.0001196	-0.005134344	0
523.01465	-1.5704244	-1839.0392	0.000148211	-0.005204976	0
523.51465	-1.5716106	-1842.6343	9.31E-05	-0.005162358	0
524.01465	-1.5730947	-1849.111	9.64E-05	-0.005157292	0
524.51465	-1.5750498	-1856.4476	7.09E-05	-0.005290508	0
525.01465	-1.5740246	-1864.8983	8.54E-05	-0.005315542	0
525.51465	-1.5773565	-1870.8246	0.000105985	-0.005348027	0
526.01465	-1.5776306	-1879.459	5.64E-05	-0.005365908	0
526.51465	-1.5811652	-1886.4629	4.10E-05	-0.005320013	0
527.01465	-1.5805751	-1889.9666	7.89E-05	-0.005464554	0
527.51465	-1.5821248	-1899.9829	3.39E-05	-0.005448759	0
528.01465	-1.5839666	-1903.9165	9.21E-05	-0.005470216	0
528.51465	-1.5854567	-1912.0161	6.27E-05	-0.005511046	0
529.01465	-1.5861124	-1919.1207	7.13E-05	-0.005535185	0
529.51465	-1.5884429	-1927.3069	9.14E-05	-0.005612671	0
530.01465	-1.5907496	-1931.6104	0.000106134	-0.005607009	1
530.51465	-1.5924484	-1937.3541	8.09E-05	-0.005702972	0
531.01465	-1.5932828	-1943.3975	8.77E-05	-0.005688965	0
531.51465	-1.5937001	-1950.2783	5.03E-05	-0.005685091	0
532.01465	-1.5966147	-1959.9622	9.70E-05	-0.005738139	0
532.51465	-1.5973479	-1966.9934	7.48E-05	-0.005816221	0
533.01465	-1.598987	-1969.2937	7.52E-05	-0.005837679	0
533.51465	-1.6015679	-1976.1011	7.44E-05	-0.00590086	0
534.01465	-1.6035289	-1983.2076	6.46E-05	-0.005937815	0
534.51465	-1.603213	-1986.7571	0.000106469	-0.005916953	0
535.01465	-1.6060621	-1991.5461	8.19E-05	-0.00595212	0
535.51465	-1.6083091	-1998.7209	0.000123195	-0.005988181	0
536.01465	-1.6073614	-2002.5668	8.37E-05	-0.00605017	0
536.51465	-1.6090065	-2012.1968	7.93E-05	-0.006164908	0
537.01465	-1.6121894	-2015.2163	6.12E-05	-0.006039143	0
537.51465	-1.6139835	-2019.0938	5.12E-05	-0.00595659	0
538.01465	-1.6131073	-2021.244	0.000104811	-0.006037951	0
538.51465	-1.6182631	-2029.115	0.00010347	-0.006123185	0
539.01465	-1.6175717	-2033.9718	0.000114515	-0.006199181	0
539.51465	-1.6187519	-2041.262	7.44E-05	-0.006271303	0
540.01465	-1.6225308	-2045.8317	9.58E-05	-0.006325841	0
540.51465	-1.6220659	-2050.8718	0.000113528	-0.006324351	1
541.01465	-1.6229779	-2061.4741	9.64E-05	-0.006267726	1
541.51465	-1.6260177	-2065.9705	4.58E-05	-0.006373227	0
542.01465	-1.6264588	-2070.8677	9.07E-05	-0.006386936	0
542.51465	-1.628682	-2078.877	0.000105463	-0.006432831	0
543.01465	-1.6298383	-2083.8755	7.82E-05	-0.006476045	0
543.51465	-1.6318589	-2090.031	5.36E-05	-0.006473661	0
544.01465	-1.632306	-2097.4619	9.69E-05	-0.006536245	0
544.51465	-1.6339272	-2098.9138	4.50E-05	-0.006566942	0
545.01465	-1.6362697	-2098.9739	0.000127796	-0.006591976	0
545.51465	-1.6386002	-2095.3691	9.56E-05	-0.006501675	0
546.01465	-1.6383857	-2095.1506	6.12E-05	-0.006607473	0
546.51465	-1.6413063	-2096.6948	6.59E-05	-0.006535649	0
547.01465	-1.6433686	-2098.2485	5.95E-05	-0.006588697	0
547.51465	-1.6435117	-2103.7009	0.000113659	-0.00670284	0
548.01465	-1.6450673	-2108.5212	8.46E-05	-0.006762147	0
548.51465	-1.6463429	-2117.2407	6.21E-05	-0.006683171	0
549.01465	-1.647684	-2124.8933	7.93E-05	-0.006758273	0
549.51465	-1.6499072	-2133.3538	6.29E-05	-0.006775856	0
550.01465	-1.6517371	-2140.0415	7.61E-05	-0.006892085	0
550.51465	-1.6528279	-2144.5115	2.85E-05	-0.00679493	0
551.01465	-1.6539365	-2152.7007	8.03E-05	-0.006839633	0
551.51465	-1.6540498	-2159.9761	0.000108909	-0.007016659	1
552.01465	-1.6561836	-2165.9402	0.000103898	-0.007021427	0
552.51465	-1.6575307	-2172.9883	7.48E-05	-0.007089376	0
553.01465	-1.6600281	-2181.8726	4.96E-05	-0.007089973	0
553.51465	-1.6627818	-2192.614	7.32E-05	-0.00708729	0
