Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon		Axial Force	Axial Force
Sec	mm	N	mm	mm	unitless		N	N
33.513672	-0.099810958	-2.7775276	-0.00074029	0.007821322	0		-2.7775276	2.7775276
34.013672	-0.10324419	1.2985046	-0.000792667	0.007872284	0		1.2985046	-1.2985046
34.513672	-0.10243654	-3.0400174	-0.000835061	0.008042455	0		-3.0400174	3.0400174
35.013672	-0.10451078	-2.1064596	-0.000807717	0.007721186	0		-2.1064596	2.1064596
35.513672	-0.10592341	-1.2319654	-0.000854284	0.007866621	0		-1.2319654	1.2319654
36.013672	-0.10785162	-1.8088504	-0.000835881	0.007915199	0		-1.8088504	1.8088504
36.513672	-0.10973811	-3.5345392	-0.000810921	0.008008182	0		-3.5345392	3.5345392
37.013672	-0.1105547	-1.7769657	-0.000825152	0.007815063	0		-1.7769657	1.7769657
37.513672	-0.11191666	-4.7231069	-0.000764728	0.007877648	0		-4.7231069	4.7231069
38.013672	-0.11397898	-1.5602045	-0.000823215	0.00800401	0		-1.5602045	1.5602045
38.513672	-0.1159519	-3.3104391	-0.000826344	0.007863939	0		-3.3104391	3.3104391
39.013672	-0.11667609	-0.26577428	-0.000798777	0.007913411	0		-0.26577428	0.26577428
39.513672	-0.11834502	-1.3846557	-0.000800267	0.00810653	0		-1.3846557	1.3846557
40.013672	-0.1201272	-2.5142481	-0.000818148	0.007873774	0		-2.5142481	2.5142481
40.513672	-0.12166798	-0.96894342	-0.000815466	0.007940531	0		-0.96894342	0.96894342
41.013672	-0.12274086	-3.1467071	-0.000740215	0.008152127	0		-3.1467071	3.1467071
41.513672	-0.1247108	0.71059555	-0.000772625	0.00788182	0		0.71059555	-0.71059555
42.013672	-0.12696981	-2.3666737	-0.000754744	0.008088648	1		-2.3666737	2.3666737
42.513672	-0.12760162	-0.94275063	-0.000729486	0.008007288	0		-0.94275063	0.94275063
43.013672	-0.12951493	-3.2912693	-0.000830516	0.008041263	0		-3.2912693	3.2912693
43.513672	-0.13080239	-2.5937042	-0.000734776	0.007823706	0		-2.5937042	2.5937042
44.013672	-0.1319468	-3.3769667	-0.00081934	0.008320808	0		-3.3769667	3.3769667
44.513672	-0.13401806	-5.6197348	-0.000796467	0.008012652	0		-5.6197348	5.6197348
45.013672	-0.13521314	-2.8308609	-0.000785291	0.007911623	0		-2.8308609	2.8308609
45.513672	-0.13622344	-1.6838006	-0.000761077	0.008046031	0		-1.6838006	1.6838006
46.013672	-0.13899207	-4.8466096	-0.00081934	0.008257628	0		-4.8466096	4.8466096
46.513672	-0.13979971	-5.2278895	-0.000788644	0.008062124	0		-5.2278895	5.2278895
47.013672	-0.14139116	-3.1531215	-0.000838861	0.008051693	0		-3.1531215	3.1531215
47.513672	-0.14300942	-3.286598	-0.000818372	0.008127987	0		-3.286598	3.286598
48.013672	-0.14483333	-0.840451	-0.00080578	0.008000135	0		-0.840451	0.840451
48.513672	-0.14465749	-5.4287539	-0.000843108	0.008093119	0		-5.4287539	5.4287539
49.013672	-0.14663935	-3.7052908	-0.000797361	0.008099973	0		-3.7052908	3.7052908
49.513672	-0.14692545	-1.5868361	-0.000802279	0.00821203	0		-1.5868361	1.5868361
50.013672	-0.14991164	-3.6840703	-0.00079371	0.008099079	0		-3.6840703	3.6840703
