Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon
Sec	mm	N	mm	mm	unitless
233.01465	-0.69881082	-11.001526	-0.73001939	0.002339482	1
233.51465	-0.70040822	-13.894693	-0.73112458	0.002742112	0
234.01465	-0.69876909	-16.604748	-0.73230505	0.002548397	0
234.51465	-0.70258975	-19.734766	-0.73361856	0.002746284	0
235.01465	-0.70506334	-22.470406	-0.73468214	0.00266254	0
235.51465	-0.70551634	-23.228416	-0.73524427	0.002493262	0
236.01465	-0.70798993	-25.567886	-0.73601884	0.002678335	0
236.51465	-0.70924759	-28.692604	-0.73677158	0.002582371	0
237.01465	-0.71101189	-30.605814	-0.73762345	0.002601743	0
237.51465	-0.71147084	-33.569893	-0.73828834	0.002506971	0
238.01465	-0.71413517	-30.750603	-0.73937464	0.002364218	0
238.51465	-0.71601272	-32.37624	-0.74136853	0.002485812	0
239.01465	-0.71647167	-29.961103	-0.74303013	0.002636313	0
239.51465	-0.71976185	-31.749287	-0.74474227	0.002586544	0
240.01465	-0.71859956	-31.083347	-0.74611592	0.002492368	0
240.51465	-0.72262287	-31.755556	-0.74791384	0.002470017	0
241.01465	-0.72094798	-32.561844	-0.74930733	0.002648234	0
241.51465	-0.72372556	-33.1087	-0.75080907	0.002604425	0
242.01465	-0.72605014	-30.774315	-0.75232363	0.002698898	0
242.51465	-0.7258296	-33.261395	-0.75349605	0.002396703	0
243.01465	-0.72987676	-33.667885	-0.75518119	0.00249505	0
243.51465	-0.73043108	-34.043076	-0.75664848	0.002434552	1
244.01465	-0.7316649	-35.659687	-0.75788593	0.002698004	1
244.51465	-0.7324338	-33.057556	-0.75944197	0.002690554	0
245.01465	-0.73459148	-35.014645	-0.76103961	0.002419353	0
245.51465	-0.73626041	-34.650478	-0.76273805	0.002512336	0
246.01465	-0.73813796	-35.876694	-0.7639001	0.002376735	0
246.51465	-0.73966384	-34.457741	-0.76521319	0.002732575	0
247.01465	-0.73964596	-34.940216	-0.76682001	0.002571046	0
247.51465	-0.74197054	-33.805088	-0.76845205	0.0024876	0
248.01465	-0.74374676	-32.821793	-0.77022928	0.002443492	0
248.51465	-0.74526668	-34.818665	-0.77215445	0.002449155	0
249.01465	-0.74584484	-33.034729	-0.77384669	0.002602637	0
249.51465	-0.74822903	-34.070946	-0.77567047	0.002683997	0
250.01465	-0.75091124	-35.145565	-0.77755052	0.002737045	0
250.51465	-0.75324774	-32.643143	-0.7793166	0.002399981	0
251.01465	-0.75439215	-34.590416	-0.78069764	0.002541244	0
251.51465	-0.75475574	-34.93475	-0.78231084	0.002399683	0
252.01465	-0.75722337	-35.068462	-0.78382999	0.002620816	0
252.51465	-0.75706244	-35.782036	-0.78533024	0.002628267	0
253.01465	-0.75960755	-35.520267	-0.78690773	0.003117621	0
253.51465	-0.75929165	-34.088062	-0.7887162	0.002456904	0
254.01465	-0.76249242	-35.348198	-0.79015982	0.002476573	0
254.51465	-0.76091886	-34.977982	-0.79180586	0.002515912	1
255.01465	-0.76410174	-37.544117	-0.79321581	0.002647042	0
255.51465	-0.7638216	-35.620312	-0.79479045	0.002756715	0
256.01465	-0.76690912	-40.686897	-0.79658246	0.002621114	0
256.51465	-0.76816082	-36.621155	-0.79896766	0.002655089	0
257.01465	-0.76982975	-40.104954	-0.8008076	0.002577901	0
257.51465	-0.77165961	-41.420948	-0.80292135	0.002620518	0
258.01465	-0.77334046	-43.93224	-0.80533421	0.002595782	0
258.51465	-0.77450871	-45.386566	-0.80706102	0.002608895	0
259.01465	-0.77677369	-45.440121	-0.80907065	0.002582073	0
